美股代码;美股公司名称;主营细分赛道;赛道判断依据;映射类型;A股对应赛道;A股Top1代码;A股Top1名称;Top1总市值估算(亿元);Top1业务说明;A股Top2代码;A股Top2名称;Top2总市值估算(亿元);Top2业务说明;A股Top3代码;A股Top3名称;Top3总市值估算(亿元);Top3业务说明;市值口径/数据状态;备注
MAR;Marriott International;酒店管理/住宿;酒店管理和特许经营;直接/较接近映射;酒店管理/住宿;600754.SH;锦江酒店;300;酒店管理;600258.SH;首旅酒店;180;酒店管理;000428.SZ;华天酒店;50;酒店运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MRVL;Marvell Technology;网络通信/交换路由设备;数据中心、网络和存储芯片;直接/较接近映射;网络通信/交换路由设备;000938.SZ;紫光股份;900;企业网络设备/新华三;000063.SZ;中兴通讯;1600;通信设备与网络基础设施;300308.SZ;中际旭创;1800;光模块，AI网络基础设施;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MELI;MercadoLibre;综合电商/云计算平台;拉美电商和金融科技平台;直接/较接近映射;综合电商/云计算平台;002230.SZ;科大讯飞;1100;AI平台与云化软件，近似映射云业务;000977.SZ;浪潮信息;1300;AI服务器与云基础设施;603613.SH;国联股份;250;B2B电商平台，近似映射电商平台;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
META;Meta Platforms;社交媒体/广告/元宇宙;社交网络、广告、AI和VR生态;直接/较接近映射;社交媒体/广告/元宇宙;002555.SZ;三七互娱;350;游戏发行与买量投放，近似映射;300058.SZ;蓝色光标;300;数字营销与广告服务;300418.SZ;昆仑万维;500;海外互联网平台与AI应用;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MCHP;Microchip Technology;模拟芯片/混合信号芯片;MCU、模拟与连接芯片;直接/较接近映射;模拟芯片/混合信号芯片;300661.SZ;圣邦股份;350;模拟芯片设计;688536.SH;思瑞浦;250;高性能模拟芯片;688052.SH;纳芯微;230;传感器/信号链/汽车模拟芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MU;Micron Technology;存储芯片/存储设备;DRAM、NAND存储芯片;直接/较接近映射;存储芯片/存储设备;603986.SH;兆易创新;800;NOR Flash/MCU;301308.SZ;江波龙;450;存储模组;300223.SZ;北京君正;350;存储芯片与处理器;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MSFT;Microsoft;企业软件/云办公;Office、Windows、Azure、AI软件;直接/较接近映射;企业软件/云办公;688111.SH;金山办公;1300;办公软件SaaS;600588.SH;用友网络;450;ERP/企业云;600845.SH;宝信软件;1100;工业软件/云服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MSTR;MicroStrategy;比特币金库/数字资产;企业软件+比特币资产负债表策略;近似映射;比特币金库/数字资产;300033.SZ;同花顺;1200;金融信息服务，近似数字金融;300059.SZ;东方财富;2600;互联网券商/财富管理，近似数字金融;002152.SZ;广电运通;300;金融机具与数字货币场景，近似映射;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MDLZ;Mondelez International;零食/食品饮料;饼干、巧克力和零食;直接/较接近映射;零食/食品饮料;603288.SH;海天味业;2300;调味品龙头;600887.SH;伊利股份;1700;乳制品龙头;000895.SZ;双汇发展;900;肉制品龙头;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MPWR;Monolithic Power Systems;模拟芯片/混合信号芯片;电源管理芯片;直接/较接近映射;模拟芯片/混合信号芯片;300661.SZ;圣邦股份;350;模拟芯片设计;688536.SH;思瑞浦;250;高性能模拟芯片;688052.SH;纳芯微;230;传感器/信号链/汽车模拟芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MNST;Monster Beverage;软饮料/瓶装饮料;能量饮料;直接/较接近映射;软饮料/瓶装饮料;605499.SH;东鹏饮料;1600;功能饮料龙头;600887.SH;伊利股份;1700;乳制品与饮料消费龙头;000848.SZ;承德露露;90;植物蛋白饮料;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
NFLX;Netflix;流媒体/长视频内容;订阅制长视频流媒体;直接/较接近映射;流媒体/长视频内容;300413.SZ;芒果超媒;450;长视频与内容平台;300251.SZ;光线传媒;350;影视内容;002739.SZ;万达电影;250;院线与影视;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
NVDA;NVIDIA;AI芯片/GPU;GPU、AI加速卡、CUDA生态;直接/较接近映射;AI芯片/GPU;688256.SH;寒武纪-U;2800;AI训练/推理芯片;688041.SH;海光信息;3600;服务器CPU/DCU;300474.SZ;景嘉微;450;GPU/图形芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
NXPI;NXP Semiconductors;智能手机SoC/无线芯片;汽车、NFC、嵌入式处理芯片;直接/较接近映射;智能手机SoC/无线芯片;688099.SH;晶晨股份;650;智能终端SoC;688608.SH;恒玄科技;320;无线音频/AIoT芯片;603986.SH;兆易创新;800;MCU/存储芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ORLY;O'Reilly Automotive;汽车零配件/售后;汽车零配件零售与售后;直接/较接近映射;汽车零配件/售后;600660.SH;福耀玻璃;1500;汽车玻璃;600741.SH;华域汽车;600;汽车零部件;601799.SH;星宇股份;350;汽车车灯;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ODFL;Old Dominion Freight Line;零担/公路货运;零担货运与公路物流;直接/较接近映射;零担/公路货运;002352.SZ;顺丰控股;1900;快递/综合物流;601598.SH;中国外运;350;综合物流;603056.SH;德邦股份;180;零担快递物流;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
PCAR;PACCAR;重卡/商用车;重卡和商用车制造;直接/较接近映射;重卡/商用车;000338.SZ;潍柴动力;1400;重卡动力总成;000800.SZ;一汽解放;400;商用车整车;000951.SZ;中国重汽;350;重卡整车;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
PLTR;Palantir;数据分析/AI平台软件;数据分析、AI平台和政府/企业软件;直接/较接近映射;数据分析/AI平台软件;002230.SZ;科大讯飞;1100;AI语音/大模型应用;688111.SH;金山办公;1300;AI办公软件;300033.SZ;同花顺;1200;金融数据与AI应用;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
PANW;Palo Alto Networks;网络安全;网络安全平台、云安全、SASE;直接/较接近映射;网络安全;688561.SH;奇安信-U;300;网络安全平台型公司;300454.SZ;深信服;250;安全与云计算基础设施;002439.SZ;启明星辰;200;网络安全产品与服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
PAYX;Paychex;企业服务/人力资源薪酬;薪酬、人力资源和中小企业服务;直接/较接近映射;企业服务/人力资源薪酬;600588.SH;用友网络;450;企业管理软件/ERP;300662.SZ;科锐国际;90;人力资源服务;603039.SH;泛微网络;110;协同办公/OA;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
PYPL;PayPal;支付/数字金融;在线支付和数字钱包;直接/较接近映射;支付/数字金融;300059.SZ;东方财富;2600;互联网券商与财富管理;300033.SZ;同花顺;1200;金融信息服务;300773.SZ;拉卡拉;180;第三方支付;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
PDD;PDD Holdings;跨境/平台电商;拼多多、Temu平台电商;直接/较接近映射;跨境/平台电商;603613.SH;国联股份;250;B2B电商平台;002315.SZ;焦点科技;120;跨境B2B电商;300785.SZ;值得买;90;电商导购/内容电商;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
PEP;PepsiCo;零食/食品饮料;饮料和休闲食品;直接/较接近映射;零食/食品饮料;603288.SH;海天味业;2300;调味品龙头;600887.SH;伊利股份;1700;乳制品龙头;000895.SZ;双汇发展;900;肉制品龙头;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
QCOM;Qualcomm;智能手机SoC/无线芯片;手机SoC、基带、无线通信芯片;直接/较接近映射;智能手机SoC/无线芯片;688099.SH;晶晨股份;650;智能终端SoC;688608.SH;恒玄科技;320;无线音频/AIoT芯片;603986.SH;兆易创新;800;MCU/存储芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
REGN;Regeneron Pharmaceuticals;创新药/生物技术;抗体药、眼科和免疫创新药;直接/较接近映射;创新药/生物技术;600276.SH;恒瑞医药;3100;创新药与仿制药龙头;688235.SH;百济神州-U;1700;肿瘤创新药研发与商业化;603259.SH;药明康德;1200;CXO与医药研发服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ROP;Roper Technologies;垂直软件/工业软件;垂直市场软件与工业技术;直接/较接近映射;垂直软件/工业软件;600845.SH;宝信软件;1100;工业软件与工业互联网;688111.SH;金山办公;1300;通用软件SaaS;002410.SZ;广联达;180;建筑垂直软件;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ROST;Ross Stores;折扣零售/服装零售;折扣服装和家居零售;直接/较接近映射;折扣零售/服装零售;600398.SH;海澜之家;400;服装零售;002563.SZ;森马服饰;170;休闲服饰;002832.SZ;比音勒芬;220;服饰品牌;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
SNDK;SanDisk;存储芯片/存储设备;闪存与存储产品;直接/较接近映射;存储芯片/存储设备;603986.SH;兆易创新;800;NOR Flash/MCU;301308.SZ;江波龙;450;存储模组;300223.SZ;北京君正;350;存储芯片与处理器;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
STX;Seagate Technology;存储芯片/存储设备;硬盘和企业存储设备;直接/较接近映射;存储芯片/存储设备;603986.SH;兆易创新;800;NOR Flash/MCU;301308.SZ;江波龙;450;存储模组;300223.SZ;北京君正;350;存储芯片与处理器;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
SHOP;Shopify;电商SaaS/商家服务;电商建站SaaS和商家服务;直接/较接近映射;电商SaaS/商家服务;603613.SH;国联股份;250;产业互联网/B2B平台;002315.SZ;焦点科技;120;跨境B2B电商服务;300785.SZ;值得买;90;电商导购/商家服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
SBUX;Starbucks;咖啡/连锁餐饮;全球咖啡连锁，A股无直接同构;近似映射;咖啡/连锁餐饮;603288.SH;海天味业;2300;调味品消费龙头，近似食品消费;600887.SH;伊利股份;1700;大众消费品;603711.SH;香飘飘;70;饮品消费，近似映射;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
SNPS;Synopsys;EDA/电子设计自动化;EDA软件、IP和验证工具;直接/较接近映射;EDA/电子设计自动化;301269.SZ;华大九天;550;国产EDA工具龙头;688206.SH;概伦电子;130;EDA与器件建模;301095.SZ;广立微;120;EDA与晶圆级电性测试;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
TMUS;T-Mobile US;通信运营商;移动通信运营商;直接/较接近映射;通信运营商;600941.SH;中国移动;22000;移动通信运营商;601728.SH;中国电信;6500;固网/移动/云运营商;600050.SH;中国联通;1500;通信运营商;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
TTWO;Take-Two Interactive;游戏软件;游戏研发发行;直接/较接近映射;游戏软件;002555.SZ;三七互娱;350;游戏研发发行;002602.SZ;世纪华通;800;游戏与数字娱乐;002558.SZ;巨人网络;250;游戏研发运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
TSLA;Tesla;电动车整车/智能汽车;电动车、储能、自动驾驶;直接/较接近映射;电动车整车/智能汽车;002594.SZ;比亚迪;9000;新能源汽车整车与电池;601127.SH;赛力斯;2300;智能电动车整车;601633.SH;长城汽车;2100;整车与新能源转型;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
TXN;Texas Instruments;模拟芯片/混合信号芯片;模拟芯片、嵌入式处理器;直接/较接近映射;模拟芯片/混合信号芯片;300661.SZ;圣邦股份;350;模拟芯片设计;688536.SH;思瑞浦;250;高性能模拟芯片;688052.SH;纳芯微;230;传感器/信号链/汽车模拟芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
TRI;Thomson Reuters;信息服务/金融数据;专业信息、法律税务和数据服务;直接/较接近映射;信息服务/金融数据;300059.SZ;东方财富;2600;金融数据与互联网券商;300033.SZ;同花顺;1200;金融信息服务;600570.SH;恒生电子;750;金融IT;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
VRSK;Verisk Analytics;数据分析/AI平台软件;保险与风险数据分析;直接/较接近映射;数据分析/AI平台软件;002230.SZ;科大讯飞;1100;AI语音/大模型应用;688111.SH;金山办公;1300;AI办公软件;300033.SZ;同花顺;1200;金融数据与AI应用;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
VRTX;Vertex Pharmaceuticals;创新药/生物技术;囊性纤维化等创新药;直接/较接近映射;创新药/生物技术;600276.SH;恒瑞医药;3100;创新药与仿制药龙头;688235.SH;百济神州-U;1700;肿瘤创新药研发与商业化;603259.SH;药明康德;1200;CXO与医药研发服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
WMT;Walmart;会员制零售/仓储零售;综合零售与商超;近似映射;会员制零售/仓储零售;601933.SH;永辉超市;500;商超零售，近似映射;600415.SH;小商品城;700;商品交易市场与零售生态;600827.SH;百联股份;180;综合零售;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
WBD;Warner Bros. Discovery;流媒体/长视频内容;影视内容、流媒体和传媒;直接/较接近映射;流媒体/长视频内容;300413.SZ;芒果超媒;450;长视频与内容平台;300251.SZ;光线传媒;350;影视内容;002739.SZ;万达电影;250;院线与影视;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
WDC;Western Digital;存储芯片/存储设备;硬盘、NAND和存储产品;直接/较接近映射;存储芯片/存储设备;603986.SH;兆易创新;800;NOR Flash/MCU;301308.SZ;江波龙;450;存储模组;300223.SZ;北京君正;350;存储芯片与处理器;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
WDAY;Workday;企业服务/人力资源薪酬;HCM/财务云软件;直接/较接近映射;企业服务/人力资源薪酬;600588.SH;用友网络;450;企业管理软件/ERP;300662.SZ;科锐国际;90;人力资源服务;603039.SH;泛微网络;110;协同办公/OA;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
XEL;Xcel Energy;公用事业/电力运营;电力天然气公用事业;直接/较接近映射;公用事业/电力运营;600900.SH;长江电力;7200;水电运营，A股公用事业市值龙头;601985.SH;中国核电;1900;核电运营;600025.SH;华能水电;1800;水电运营;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ZS;Zscaler;网络安全;零信任/SASE云安全;直接/较接近映射;网络安全;688561.SH;奇安信-U;300;网络安全平台型公司;300454.SZ;深信服;250;安全与云计算基础设施;002439.SZ;启明星辰;200;网络安全产品与服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
BRK.B;Berkshire Hathaway Class B;保险/多元金融;保险、再保险和多元控股;直接/较接近映射;保险/多元金融;601318.SH;中国平安;9000;保险与综合金融;601628.SH;中国人寿;7000;寿险龙头;601601.SH;中国太保;3000;保险集团;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
LLY;Eli Lilly;创新药/生物技术;GLP-1、糖尿病、肿瘤等创新药;直接/较接近映射;创新药/生物技术;600276.SH;恒瑞医药;3100;创新药与仿制药龙头;688235.SH;百济神州-U;1700;肿瘤创新药研发与商业化;603259.SH;药明康德;1200;CXO与医药研发服务;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
JPM;JPMorgan Chase;银行;综合银行与投行;直接/较接近映射;银行;601398.SH;工商银行;23000;大型国有银行;601939.SH;建设银行;21000;大型国有银行;601288.SH;农业银行;20000;大型国有银行;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
V;Visa;银行卡组织/支付网络;银行卡清算网络与支付科技;近似映射;银行卡组织/支付网络;300773.SZ;拉卡拉;180;支付服务;000997.SZ;新大陆;300;支付终端与商户服务;002152.SZ;广电运通;300;金融机具/数字支付;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
JNJ;Johnson & Johnson;消费医疗/医药大健康;医药、医疗器械、消费健康;直接/较接近映射;消费医疗/医药大健康;600276.SH;恒瑞医药;3100;创新药龙头;000538.SZ;云南白药;900;品牌药与大健康;300760.SZ;迈瑞医疗;3200;医疗器械龙头;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
XOM;Exxon Mobil;综合油气;综合油气、炼化与化工;直接/较接近映射;综合油气;601857.SH;中国石油;17000;综合油气;600938.SH;中国海油;10000;海上油气;600028.SH;中国石化;7500;炼化销售;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
DELL;Dell Technologies;个人电脑/服务器硬件;PC、服务器、存储与企业IT硬件;直接/较接近映射;个人电脑/服务器硬件;601138.SH;工业富联;4200;服务器与电子制造;000977.SZ;浪潮信息;1300;服务器与AI算力;000938.SZ;紫光股份;900;IT基础设施;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
GLW;Corning;显示玻璃/光学材料;显示玻璃、光纤、特种玻璃材料;直接/较接近映射;显示玻璃/光学材料;000725.SZ;京东方A;1700;显示面板;000100.SZ;TCL科技;900;显示面板与材料;600707.SH;彩虹股份;200;显示玻璃基板;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
MRK;Merck & Co.;大药企/生物制药;创新药、疫苗和肿瘤药;直接/较接近映射;大药企/生物制药;600276.SH;恒瑞医药;3100;创新药龙头;600436.SH;片仔癀;1500;中成药与品牌药;600196.SH;复星医药;700;综合医药与创新药;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
CBRS;Cerebras Systems;AI芯片/GPU;晶圆级AI芯片与AI计算系统;直接/较接近映射;AI芯片/GPU;688256.SH;寒武纪-U;2800;AI训练/推理芯片;688041.SH;海光信息;3600;服务器CPU/DCU;300474.SZ;景嘉微;450;GPU/图形芯片;总市值估算；用于赛道排序初筛，需用Wind/Choice/iFinD或东方财富逐项复核;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
ASX;ASE Technology Holding;先进封装/封装测试;全球封测龙头，提供先进封装、系统级封装、晶圆测试和电子制造服务;直接/较接近映射;先进封装/封装测试;600584.SH;长电科技;;封装测试龙头，覆盖先进封装与系统级封装;002156.SZ;通富微电;;集成电路封装测试服务商，具备高端封测产能;002185.SZ;华天科技;;封装测试企业，覆盖多类型 IC 封装与测试;A股市值由缓存动态补充；此处用于映射关系;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
AMKR;Amkor Technology;先进封装/封装测试;全球主要 OSAT 厂商，提供半导体封装设计、组装、先进封装和测试服务;直接/较接近映射;先进封装/封装测试;600584.SH;长电科技;;封装测试龙头，覆盖先进封装与系统级封装;002156.SZ;通富微电;;集成电路封装测试服务商，具备高端封测产能;002185.SZ;华天科技;;封装测试企业，覆盖多类型 IC 封装与测试;A股市值由缓存动态补充；此处用于映射关系;美股→A股按主营业务和资本市场主叙事映射；不是交易所官方行业分类
NET;Cloudflare;网络安全/SASE与边缘云;全球边缘网络、DDoS 防护、Zero Trust、应用安全和开发者边缘平台;近似映射;网络安全/SASE与边缘云;300454.SZ;深信服;;安全与云计算基础设施，SASE/安全访问近似映射;688561.SH;奇安信-U;;平台型网络安全公司，覆盖终端、边界、云和数据安全;002439.SZ;启明星辰;;网络安全产品与服务提供商;A股市值由缓存动态补充；此处用于映射关系;Cloudflare 同时具备 CDN、边缘云与安全平台属性，A股无完全同构标的
