ticker,has_options,checked_at,source,reason
AAPL,Y,2026-06-26T16:10:52,polygon_options_contracts,active option contract found
ABNB,Y,2026-06-26T16:10:44,polygon_options_contracts,active option contract found
ADBE,Y,2026-06-26T16:10:41,polygon_options_contracts,active option contract found
ADI,Y,2026-06-26T16:10:51,polygon_options_contracts,active option contract found
ADP,Y,2026-06-26T16:11:00,polygon_options_contracts,active option contract found
ADSK,Y,2026-06-26T16:10:59,polygon_options_contracts,active option contract found
AEP,Y,2026-06-26T16:10:49,polygon_options_contracts,active option contract found
ALAB,Y,2026-06-26T16:14:43,polygon_options_contracts,active option contract found
ALNY,Y,2026-06-26T16:10:45,polygon_options_contracts,active option contract found
AMAT,Y,2026-06-26T16:10:53,polygon_options_contracts,active option contract found
AMD,Y,2026-06-26T16:10:42,polygon_options_contracts,active option contract found
AMGN,Y,2026-06-26T16:10:50,polygon_options_contracts,active option contract found
AMZN,Y,2026-06-26T16:10:48,polygon_options_contracts,active option contract found
APP,Y,2026-06-26T16:10:54,polygon_options_contracts,active option contract found
ARM,Y,2026-06-26T16:10:55,polygon_options_contracts,active option contract found
ASML,Y,2026-06-26T16:10:56,polygon_options_contracts,active option contract found
AVGO,Y,2026-06-26T16:11:09,polygon_options_contracts,active option contract found
AXON,Y,2026-06-26T16:11:06,polygon_options_contracts,active option contract found
BKNG,Y,2026-06-26T16:11:08,polygon_options_contracts,active option contract found
BKR,Y,2026-06-26T16:11:07,polygon_options_contracts,active option contract found
BRK.B,Y,2026-06-26T16:14:31,polygon_options_contracts,active option contract found
CBRS,Y,2026-06-27T17:48:01,polygon_options_contracts,active option contract found
CCEP,Y,2026-06-26T16:15:44,polygon_options_contracts,active option contract found
CDNS,Y,2026-06-26T16:11:14,polygon_options_contracts,active option contract found
CEG,Y,2026-06-26T16:11:33,polygon_options_contracts,active option contract found
CMCSA,Y,2026-06-26T16:11:32,polygon_options_contracts,active option contract found
COST,Y,2026-06-26T16:11:36,polygon_options_contracts,active option contract found
CPRT,Y,2026-06-26T16:11:34,polygon_options_contracts,active option contract found
CRWD,Y,2026-06-26T16:11:41,polygon_options_contracts,active option contract found
CRWV,Y,2026-06-26T16:14:48,polygon_options_contracts,active option contract found
CSCO,Y,2026-06-26T16:11:17,polygon_options_contracts,active option contract found
CSX,Y,2026-06-26T16:11:42,polygon_options_contracts,active option contract found
CTAS,Y,2026-06-26T16:11:16,polygon_options_contracts,active option contract found
DASH,Y,2026-06-26T16:11:46,polygon_options_contracts,active option contract found
DDOG,Y,2026-06-26T16:11:43,polygon_options_contracts,active option contract found
DELL,Y,2026-06-26T16:14:42,polygon_options_contracts,active option contract found
DXCM,Y,2026-06-26T16:11:44,polygon_options_contracts,active option contract found
EA,Y,2026-06-26T16:11:47,polygon_options_contracts,active option contract found
EXC,Y,2026-06-26T16:11:48,polygon_options_contracts,active option contract found
FANG,Y,2026-06-26T16:11:45,polygon_options_contracts,active option contract found
FAST,Y,2026-06-26T16:11:49,polygon_options_contracts,active option contract found
FER,Y,2026-06-26T16:11:55,polygon_options_contracts,active option contract found
FTNT,Y,2026-06-26T16:11:56,polygon_options_contracts,active option contract found
GEHC,Y,2026-06-26T16:11:57,polygon_options_contracts,active option contract found
GILD,Y,2026-06-26T16:11:58,polygon_options_contracts,active option contract found
GLW,Y,2026-06-27T17:47:59,polygon_options_contracts,active option contract found
GOOG,Y,2026-06-26T16:10:47,polygon_options_contracts,active option contract found
GOOGL,Y,2026-06-26T16:10:46,polygon_options_contracts,active option contract found
HON,Y,2026-06-26T16:11:59,polygon_options_contracts,active option contract found
IDXX,Y,2026-06-26T16:12:00,polygon_options_contracts,active option contract found
INTC,Y,2026-06-26T16:12:01,polygon_options_contracts,active option contract found
INTU,Y,2026-06-26T16:12:02,polygon_options_contracts,active option contract found
ISRG,Y,2026-06-26T16:12:03,polygon_options_contracts,active option contract found
JNJ,Y,2026-06-26T16:14:35,polygon_options_contracts,active option contract found
JPM,Y,2026-06-26T16:14:33,polygon_options_contracts,active option contract found
KDP,Y,2026-06-26T16:12:04,polygon_options_contracts,active option contract found
KHC,Y,2026-06-26T16:12:06,polygon_options_contracts,active option contract found
KLAC,Y,2026-06-26T16:12:05,polygon_options_contracts,active option contract found
LIN,Y,2026-06-26T16:12:17,polygon_options_contracts,active option contract found
LITE,Y,2026-06-26T16:12:22,polygon_options_contracts,active option contract found
LLY,Y,2026-06-26T16:14:32,polygon_options_contracts,active option contract found
LRCX,Y,2026-06-26T16:12:12,polygon_options_contracts,active option contract found
MAR,Y,2026-06-26T16:12:23,polygon_options_contracts,active option contract found
MCHP,Y,2026-06-26T16:12:40,polygon_options_contracts,active option contract found
MDLZ,Y,2026-06-26T16:12:45,polygon_options_contracts,active option contract found
MELI,Y,2026-06-26T16:12:30,polygon_options_contracts,active option contract found
META,Y,2026-06-26T16:12:35,polygon_options_contracts,active option contract found
MNST,Y,2026-06-26T16:12:47,polygon_options_contracts,active option contract found
MPWR,Y,2026-06-26T16:12:46,polygon_options_contracts,active option contract found
MRK,Y,2026-06-27T17:48:00,polygon_options_contracts,active option contract found
MRVL,Y,2026-06-26T16:12:24,polygon_options_contracts,active option contract found
MSFT,Y,2026-06-26T16:12:43,polygon_options_contracts,active option contract found
MSTR,Y,2026-06-26T16:12:44,polygon_options_contracts,active option contract found
MU,Y,2026-06-26T16:12:42,polygon_options_contracts,active option contract found
NBIS,Y,2026-06-26T16:14:49,polygon_options_contracts,active option contract found
NFLX,Y,2026-06-26T16:12:48,polygon_options_contracts,active option contract found
NVDA,Y,2026-06-26T16:12:49,polygon_options_contracts,active option contract found
NXPI,Y,2026-06-26T16:12:50,polygon_options_contracts,active option contract found
ODFL,Y,2026-06-26T16:12:52,polygon_options_contracts,active option contract found
ORLY,Y,2026-06-26T16:12:51,polygon_options_contracts,active option contract found
PANW,Y,2026-06-26T16:13:00,polygon_options_contracts,active option contract found
PAYX,Y,2026-06-26T16:13:01,polygon_options_contracts,active option contract found
PCAR,Y,2026-06-26T16:12:53,polygon_options_contracts,active option contract found
PDD,Y,2026-06-26T16:13:13,polygon_options_contracts,active option contract found
PEP,Y,2026-06-26T16:13:14,polygon_options_contracts,active option contract found
PLTR,Y,2026-06-26T16:12:55,polygon_options_contracts,active option contract found
PYPL,Y,2026-06-26T16:13:02,polygon_options_contracts,active option contract found
QCOM,Y,2026-06-26T16:13:20,polygon_options_contracts,active option contract found
QQQ,Y,2026-06-27T17:48:02,polygon_options_contracts,active option contract found
REGN,Y,2026-06-26T16:13:25,polygon_options_contracts,active option contract found
RKLB,Y,2026-06-26T16:14:50,polygon_options_contracts,active option contract found
ROP,Y,2026-06-26T16:13:30,polygon_options_contracts,active option contract found
ROST,Y,2026-06-26T16:13:36,polygon_options_contracts,active option contract found
SBUX,Y,2026-06-26T16:13:54,polygon_options_contracts,active option contract found
SHOP,Y,2026-06-26T16:13:49,polygon_options_contracts,active option contract found
SNDK,Y,2026-06-26T16:13:42,polygon_options_contracts,active option contract found
SNPS,Y,2026-06-26T16:13:55,polygon_options_contracts,active option contract found
STX,Y,2026-06-26T16:13:48,polygon_options_contracts,active option contract found
TER,Y,2026-06-26T16:14:51,polygon_options_contracts,active option contract found
TMUS,Y,2026-06-26T16:13:56,polygon_options_contracts,active option contract found
TRI,Y,2026-06-26T16:14:00,polygon_options_contracts,active option contract found
TSLA,Y,2026-06-26T16:13:58,polygon_options_contracts,active option contract found
TTWO,Y,2026-06-26T16:13:57,polygon_options_contracts,active option contract found
TXN,Y,2026-06-26T16:13:59,polygon_options_contracts,active option contract found
V,Y,2026-06-26T16:14:34,polygon_options_contracts,active option contract found
VRTX,Y,2026-06-26T16:14:01,polygon_options_contracts,active option contract found
WBD,Y,2026-06-26T16:15:47,polygon_options_contracts,active option contract found
WDAY,Y,2026-06-26T16:14:24,polygon_options_contracts,active option contract found
WDC,Y,2026-06-26T16:14:18,polygon_options_contracts,active option contract found
WMT,Y,2026-06-26T16:14:02,polygon_options_contracts,active option contract found
XEL,Y,2026-06-26T16:14:25,polygon_options_contracts,active option contract found
XOM,Y,2026-06-26T16:14:36,polygon_options_contracts,active option contract found
